date,gpu_high_median,gpu_mid_median,gpu_low_median
2025-09-19,639.52,174.57,177.85
2025-09-20,635.25,175.0,179.81
2025-09-21,600.0,175.0,179.8
2025-09-22,628.49,189.99,179.81
2025-09-23,625.0,174.995,179.81
2025-09-24,628.49,175.0,170.995
2025-09-25,628.49,174.99,154.725
2025-09-26,599.99,174.99,170.99
2025-09-27,628.49,173.0,176.225
2025-09-28,628.49,175.0,165.95
2025-09-29,619.0,169.995,176.7
2025-09-30,628.49,165.0,153.6
2025-10-01,649.0,160.0,155.85
2025-10-02,637.5,159.97,164.91
2025-10-03,637.5,165.0,179.81
2025-10-04,628.49,169.99,179.55
2025-10-05,637.5,165.0,171.0
2025-10-06,637.5,176.405,160.435
2025-10-07,637.5,173.575,163.54500000000002
2025-10-08,649.0,169.95,157.925
2025-10-09,607.49,170.0,150.0
2025-10-10,599.99,169.99,150.0
2025-10-11,545.0,176.305,157.925
2025-10-12,502.175,175.0,151.42
2025-10-13,628.49,186.5,170.81
2025-10-14,625.0,189.99,152.51
2025-10-15,637.5,180.0,150.0
2025-10-16,637.5,185.58,150.0
2025-10-17,500.0,178.995,150.0
2025-10-18,611.0,189.0,150.0
2025-10-19,649.0,180.49,150.0
2025-10-21,637.5,180.49,150.0
2025-10-22,559.99,179.99,150.0
2025-10-23,550.0,179.99,150.0
2025-10-24,559.99,180.245,151.0
2025-10-25,559.99,195.0,150.03
2025-10-26,576.85,190.0,150.75
2025-10-27,570.5,199.0,152.3
2025-10-28,571.2,199.0,151.0
2025-10-29,599.0,195.0,160.0
2025-10-30,573.9,197.22,160.60000000000002
2025-10-31,573.0,195.0,169.72
2025-11-01,500.0,189.95,160.0
2025-11-02,471.3,193.98,163.82
2025-11-03,599.0,199.99,179.64
2025-11-04,599.0,199.99,163.82
2025-11-05,649.0,199.99,162.345
2025-11-06,599.0,198.995,151.0
2025-11-07,621.975,193.7,157.875
2025-11-08,670.49,190.0,160.0
2025-11-09,680.99,199.99,161.67000000000002
2025-11-10,670.49,199.22,163.82
2025-11-11,657.0,199.0,150.0
2025-11-12,657.24,199.0,150.0
2025-11-13,690.24,199.0,150.0
2025-11-14,599.99,199.0,149.99
2025-11-15,657.0,199.0,150.0
2025-11-16,650.0,195.0,149.99
2025-11-17,655.4,189.99,156.285
2025-11-19,657.0,189.99,144.835
2025-11-20,600.0,194.99,143.17
2025-11-21,550.0,198.995,149.99
2025-11-22,559.99,188.245,153.6
2025-11-23,559.99,187.42,149.99
2025-11-24,564.9300000000001,195.495,141.83
2025-11-25,596.99,175.0,149.99
2025-11-26,592.1949999999999,181.97,152.3
2025-11-27,559.99,195.0,175.34
2025-11-28,599.0,199.0,164.34
2025-11-29,550.0,199.0,176.23
2025-11-30,550.0,199.0,173.84
2025-12-01,550.0,194.49,177.575
2025-12-02,550.0,193.915,173.84
2025-12-03,459.0,190.0,173.84
2025-12-04,530.99,189.99,170.75
2025-12-05,450.0,195.0,164.0
2025-12-06,450.0,199.0,176.295
2025-12-07,450.0,195.0,164.0
2025-12-08,450.0,199.0,160.0
2025-12-09,425.0,170.0,120.0
2025-12-10,420.0,155.0,99.995
2025-12-11,500.0,159.99,94.47
2025-12-12,459.0,149.99,93.99
2025-12-13,449.0,150.0,93.99
2025-12-14,450.0,150.0,94.99
2025-12-15,476.5,150.75,93.99
2025-12-16,478.62,155.0,93.99
2025-12-17,459.99,155.0,99.0
2025-12-18,450.0,150.0,93.99
2025-12-19,429.995,140.0,93.99
2025-12-20,429.99,149.0,100.715
2025-12-21,449.99,148.625,98.995
2025-12-22,449.99,150.0,99.99
2025-12-23,508.0,152.0,107.19
2025-12-24,482.88,157.29500000000002,133.69
2025-12-25,481.44,150.0,129.99
2025-12-26,450.0,155.0,133.69
2026-01-10,500.0,140.0,100.0
2026-01-11,500.0,149.99,105.0
2026-01-12,500.0,149.0,107.19
2026-01-13,500.0,149.5,94.99
2026-01-14,500.0,149.0,94.995
2026-01-15,500.0,150.0,93.99
2026-01-16,500.0,149.99,93.99
2026-01-17,499.99,149.5,100.0
2026-01-18,467.5,150.0,104.0
2026-01-19,471.49,150.0,99.99
2026-01-20,500.0,150.75,100.47
2026-01-21,500.0,150.0,101.18
