risk_indicator,market_variable,correlation,lag_days
geopolitical_risk,brent_price_usd,0.37432352767794996,0
geopolitical_risk,brent_price_usd,0.4702052065818246,7
geopolitical_risk,brent_price_usd,0.0987259157941334,14
geopolitical_risk,brent_price_usd,0.3446711050905621,28
geopolitical_risk,wti_price_usd,0.16200960572646064,0
geopolitical_risk,wti_price_usd,0.19965920055354228,7
geopolitical_risk,wti_price_usd,0.060509398761842234,14
geopolitical_risk,wti_price_usd,0.5797914546316555,28
geopolitical_risk,btc_price_usd,0.1377469442507458,0
geopolitical_risk,btc_price_usd,0.3302931725846704,7
geopolitical_risk,btc_price_usd,0.4820404890787226,14
geopolitical_risk,btc_price_usd,0.7918963322083655,28
geopolitical_risk,gpu_high_median,-0.0723465784278067,0
geopolitical_risk,gpu_high_median,-0.03455065946128794,7
geopolitical_risk,gpu_high_median,0.11439124958887592,14
geopolitical_risk,gpu_high_median,0.28669267666416665,28
geopolitical_risk,gpu_mid_median,-0.6661115297990751,0
geopolitical_risk,gpu_mid_median,-0.4794490355837493,7
geopolitical_risk,gpu_mid_median,-0.2607123524133615,14
geopolitical_risk,gpu_mid_median,0.2824279344894319,28
geopolitical_risk,ram_ddr5_median,0.03706584421752888,0
geopolitical_risk,ram_ddr5_median,-0.09860922518379261,7
geopolitical_risk,ram_ddr5_median,-0.3251751978329801,14
geopolitical_risk,ram_ddr5_median,-0.6802997197597911,28
conflicts,brent_price_usd,0.4990854197518164,0
conflicts,brent_price_usd,0.4763155904054967,7
conflicts,brent_price_usd,0.3656250488179956,14
conflicts,brent_price_usd,0.3619905569361839,28
conflicts,wti_price_usd,0.5557155817878782,0
conflicts,wti_price_usd,0.5719260342575821,7
conflicts,wti_price_usd,0.6495889746437176,14
conflicts,wti_price_usd,0.7633964919533353,28
conflicts,btc_price_usd,0.7639524492098673,0
conflicts,btc_price_usd,0.8598218930798356,7
conflicts,btc_price_usd,0.8768061454318851,14
conflicts,btc_price_usd,0.7577703996935429,28
conflicts,gpu_high_median,0.3711061533251525,0
conflicts,gpu_high_median,0.5105122905635372,7
conflicts,gpu_high_median,0.6447335024940897,14
conflicts,gpu_high_median,0.7776143951354467,28
conflicts,gpu_mid_median,-0.09648562860554588,0
conflicts,gpu_mid_median,0.05383979443958242,7
conflicts,gpu_mid_median,0.34838054073620706,14
conflicts,gpu_mid_median,0.7811095089653965,28
conflicts,ram_ddr5_median,-0.7163065072676889,0
conflicts,ram_ddr5_median,-0.7706708561384545,7
conflicts,ram_ddr5_median,-0.8454355721252558,14
conflicts,ram_ddr5_median,-0.8893210724210645,28
bilateral_tensions,brent_price_usd,0.16911570611766008,0
bilateral_tensions,brent_price_usd,0.29582892066971794,7
bilateral_tensions,brent_price_usd,0.36978912048571433,14
bilateral_tensions,brent_price_usd,0.08664400247909197,28
bilateral_tensions,wti_price_usd,-0.0015964121816338717,0
bilateral_tensions,wti_price_usd,0.11730637954613705,7
bilateral_tensions,wti_price_usd,0.33672547924004714,14
bilateral_tensions,wti_price_usd,0.45408298664602176,28
bilateral_tensions,btc_price_usd,0.09799609786020072,0
bilateral_tensions,btc_price_usd,0.16181947998434282,7
bilateral_tensions,btc_price_usd,0.42345720599695885,14
bilateral_tensions,btc_price_usd,0.6556801535337818,28
bilateral_tensions,gpu_high_median,-0.09058802732772955,0
bilateral_tensions,gpu_high_median,0.07899297929391762,7
bilateral_tensions,gpu_high_median,0.352522645454204,14
bilateral_tensions,gpu_high_median,0.4570414987833687,28
bilateral_tensions,gpu_mid_median,-0.5958882742055056,0
bilateral_tensions,gpu_mid_median,-0.3747033891614201,7
bilateral_tensions,gpu_mid_median,0.06974582004816005,14
bilateral_tensions,gpu_mid_median,0.5647464801256958,28
bilateral_tensions,ram_ddr5_median,0.1303743535875423,0
bilateral_tensions,ram_ddr5_median,-0.0386770087610581,7
bilateral_tensions,ram_ddr5_median,-0.34947463112696187,14
bilateral_tensions,ram_ddr5_median,-0.677684212496261,28
